Metric,Random Forest
Accuracy,0.9695085555113411
Precision,0.9291573452647278
Recall,0.7063492063492064
Specificity,0.9948200654307524
F1-Score,0.8025764895330113
ROC-AUC,0.9682458079560432
PR-AUC,0.8712378802162931
MCC,0.7950717141450395
Cohen-Kappa,0.7863866854589152
