Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Specificity
Random Forest,0.9695085555113411,0.9291573452647278,0.7063492063492064,0.8025764895330113,0.9682458079560432,0.8712378802162931,0.7950717141450395,0.9948200654307524
XGBoost,0.9719458814166335,0.9658385093167702,0.7052154195011338,0.8152031454783748,0.9807003235681767,0.8926965562015068,0.8120246119492058,0.9976008724100327
