Metric,XGBoost
Accuracy,0.9719458814166335
Precision,0.9658385093167702
Recall,0.7052154195011338
Specificity,0.9976008724100327
F1-Score,0.8152031454783748
ROC-AUC,0.9807003235681767
PR-AUC,0.8926965562015068
MCC,0.8120246119492058
Cohen-Kappa,0.8004226612677472
